Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17331.02529,17784.51196,18175.24943,19117.59946,20050.27639,20876.65666,21958.25505,22924.77481,24171.76719,25264.36436,26321.44645,27373.45972,28718.24108,29734.72088,31308.21052,32575.06925,34288.86369,36544.88598,37459.30765,40300.75555,39301.34112,41965.35842,42826.78958,45902.04795,46880.22066,46288.33448,47339.96921,48482.64746,50252.84046,52203.13229,
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19425.40464,20567.11866,21241.15934,21679.4508,22587.18592,23639.81746,24500.22718,25417.84917,26673.94471,27606.48303,29388.77747,29715.64085,31178.69333,32111.12443,33745.84765,35013.71404,37611.80425,39382.79706,41316.22518,40948.22216,42041.48668,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54169.96399,57050.35135,58649.66831,
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360.070529,5417.78633,4224.438786,3275.423184,2650.261176,2359.216402,2409.193306,2567.987404,2829.595094,3055.925307,3442.631932,3836.599591,4233.440063,4716.377612,5245.425251,6850.813019,9387.109349,11957.39117,13200.94071,14248.89246,14926.63764,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14550.8204,15010.39159,
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.071875,652.533198,659.8394615,621.0366237,599.5695133,555.3674366,514.0203604,509.3573907,534.023853,529.2830268,527.0808747,537.3594612,554.9448477,541.7639194,565.0427467,569.2749716,598.5075975,615.2295597,636.3320241,644.1051742,663.0544895,681.9716213,690.6878417,740.9832211,777.0412415,841.6460259,796.9440834,773.5728587,779.8081757,783.4519832,
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18642.89392,19553.85806,20223.37968,20423.46243,21466.44544,22392.27232,22688.78553,23724.01023,24367.92397,25440.84119,27796.64607,28800.51705,30282.28865,30901.00319,32036.50123,33177.89095,35212.02356,36746.55137,37883.33194,37777.32783,39870.49487,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50435.58344,52668.17244,54693.35303,
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.574219,1312.126564,1334.477197,1396.084108,1405.71034,1472.635249,1516.000724,1581.941833,1614.627555,1675.244795,1759.720357,1837.805332,1894.998881,1936.880972,2015.637766,2052.528853,2135.26377,2258.492681,2347.924324,2353.632893,2364.119636,2416.327362,2498.495773,2669.68822,2833.412753,2886.829137,3004.807805,3044.517156,3236.670417,3426.329654,
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.9523773,647.649794,646.3094835,666.2245261,670.8509388,704.4577306,774.6553081,814.7897207,859.7349553,910.5803534,921.9391767,976.1608793,1005.429991,1072.467136,1117.464831,1215.573258,1291.485796,1339.737649,1401.957727,1411.127528,1502.104047,1586.571161,1619.399426,1683.105833,1692.303242,1713.520136,1895.295066,2044.386987,2171.238997,2270.444019,
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.5051369,888.9975278,937.5731878,983.4512625,1021.431089,1073.104366,1118.101126,1163.617277,1212.188224,1261.344618,1331.548429,1403.126219,1453.262257,1523.797478,1620.425053,1753.874608,1901.716701,2065.154773,2206.510371,2309.563637,2439.069627,2620.83379,2937.628798,3143.585503,3368.056164,3555.50526,3848.957664,4160.703325,4547.479572,4954.7614,
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7532.984171,7200.998255,6903.217399,7017.927474,7322.923425,7724.25711,6831.994244,5748.419342,6177.42266,5807.813965,6424.755754,6961.972768,7786.417002,8408.356022,9193.83106,10291.45339,11392.87662,12795.84125,14335.66902,14191.57151,14879.26701,15667.30812,16247.49048,16588.93335,17561.38213,18343.11078,20019.59128,21387.27664,22911.29835,24579.21655,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26875.81347,30066.14512,31973.13522,36038.49712,35822.30112,37059.44948,38273.11907,39039.89723,40105.04114,40910.71738,42181.90604,42094.58142,41932.58355,42860.48222,44185.33854,45400.8527,46200.63586,47532.85916,47847.61525,46498.8434,46872.94778,47377.49831,50675.62102,51494.41172,51101.97702,45575.78357,44768.97091,47709.77802,47309.70955,47087.54482,
