Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,PPS Action Level,Units, , , , 
266-5259-B-001A,Near,122,8/9/18,8/13/18,18018623,Lead,0.0281,15,ppb,,,,
266-5259-B-001B,Near,122,8/9/18,8/13/18,18018628,Copper,0.0281,1.3,ppm,,,,
266-5259-B-001B,Near,122,8/9/18,8/13/18,18018628,Lead,0.0281,15,ppb,,,,
266-5265-A-001A,Room,125,8/9/18,8/13/18,18018615,Copper,0.0281,1.3,ppm,,,,
266-5265-A-001A,Room,125,8/9/18,8/13/18,18018615,Lead,22,15,ppb,,,,
266-5265-A-001B,Room,125,8/9/18,8/13/18,18018629,Copper,0.0281,1.3,ppm,,,,
266-5265-A-001B,Room,125,8/9/18,8/13/18,18018629,Lead,5,15,ppb,,,,
266-5262-A-001A,Room,122,8/9/18,8/13/18,18018618,Copper,0.0281,1.3,ppm,,,,
266-5262-A-001A,Room,122,8/9/18,8/13/18,18018618,Lead,8,15,ppb,,,,
266-5262-A-001B,Room,122,8/9/18,8/13/18,18018626,Copper,0.0281,1.3,ppm,,,,
266-5262-A-001B,Room,122,8/9/18,8/13/18,18018626,Lead,2,15,ppb,,,,
266-5247-A-001A,Near,Exit,8/9/18,8/13/18,18018649,Copper,0.0281,1.3,ppm,,,,
266-5247-A-001A,Near,Exit,8/9/18,8/13/18,18018649,Lead,4,15,ppb,,,,
266-5247-A-001B,Near,Exit,8/9/18,8/13/18,18018650,Copper,0.0281,1.3,ppm,,,,
266-5247-A-001B,Near,Exit,8/9/18,8/13/18,18018650,Lead,9,15,ppb,,,,
266-5247-B-001A,Near,Exit,8/9/18,8/13/18,18018651,Copper,0.0281,1.3,ppm,,,,
266-5247-B-001A,Near,Exit,8/9/18,8/13/18,18018651,Lead,7,15,ppb,,,,
266-5247-B-001B,Near,Exit,8/9/18,8/13/18,18018652,Copper,0.0281,1.3,ppm,,,,
266-5247-B-001B,Near,Exit,8/9/18,8/13/18,18018652,Lead,2,15,ppb,,,,
266-5244-A-001A,Room,109,8/9/18,8/13/18,18018653,Copper,0.0281,1.3,ppm,,,,
266-5244-A-001A,Room,109,8/9/18,8/13/18,18018653,Lead,16,15,ppb,,,,
266-5244-A-001B,Room,109,8/9/18,8/13/18,18018654,Copper,0.0281,1.3,ppm,,,,
266-5244-A-001B,Room,109,8/9/18,8/13/18,18018654,Lead,8,15,ppb,,, ,
266-5241-A-001A,Room,128,8/9/18,8/13/18,18018655,Copper,0.0281,1.3,ppm,,,,
266-5241-A-001A,Room,128,8/9/18,8/13/18,18018655,Lead,11,15,ppb,,, ,
266-5241-A-001B,Room,128,8/9/18,8/13/18,18018656,Copper,0.0281,1.3,ppm,,,,
266-5241-A-001B,Room,128,8/9/18,8/13/18,18018656,Lead,9,15,ppb,,, ,
266-5319-A-001A,Room,32,8/9/18,8/13/18,18018657,Copper,0.0281,1.3,ppm,,,,
266-5319-A-001A,Room,32,8/9/18,8/13/18,18018657,Lead,5,15,ppb,,, ,
266-5319-A-001B,Room,32,8/9/18,8/13/18,18018658,Copper,0.0281,1.3,ppm,,,,
266-5319-A-001B,Room,32,8/9/18,8/13/18,18018658,Lead,4,15,ppb,,,,
266-5396-A-001A,Room,33,8/9/18,8/13/18,18018659,Copper,0.0281,1.3,ppm,,,,
266-5396-A-001A,Room,33,8/9/18,8/13/18,18018659,Lead,14,15,ppb,,,,
266-5396-A-001B,Room,33,8/9/18,8/13/18,18018660,Copper,0.0281,1.3,ppm,,,,
266-5396-A-001B,Room,33,8/9/18,8/13/18,18018660,Lead,5,15,ppb,,,,
266-5302-A-001A,Room,34,8/9/18,8/13/18,18018661,Copper,0.0281,1.3,ppm,,,,
266-5302-A-001A,Room,34,8/9/18,8/13/18,18018661,Lead,42,15,ppb,,,,
266-5302-A-001B,Room,34,8/9/18,8/13/18,18018662,Copper,0.0281,1.3,ppm,,,,
266-5302-A-001B,Room,34,8/9/18,8/13/18,18018662,Lead,33,15,ppb,,,,
266-5305-A-001A,Room,35,8/9/18,8/13/18,18018663,Copper,0.0281,1.3,ppm,,,,
266-5305-A-001A,Room,35,8/9/18,8/13/18,18018663,Lead,18,15,ppb,,,,
266-5305-A-001B,Room,35,8/9/18,8/13/18,18018664,Copper,0.0281,1.3,ppm,,,,
266-5305-A-001B,Room,35,8/9/18,8/13/18,18018664,Lead,12,15,ppb,,,,
266-5308-A-001A,Room,36,8/9/18,8/13/18,18018665,Copper,0.0281,1.3,ppm,,,,
266-5308-A-001A,Room,36,8/9/18,8/13/18,18018665,Lead,14,15,ppb,,,,
266-5308-A-001B,Room,36,8/9/18,8/13/18,18018666,Copper,0.0281,1.3,ppm,,,,
266-5308-A-001B,Room,36,8/9/18,8/13/18,18018666,Lead,12,15,ppb,,,,
266-5254-A-001A,Room,110,8/9/18,8/13/18,18018667,Copper,0.0281,1.3,ppm,,,,
266-5254-A-001A,Room,110,8/9/18,8/13/18,18018667,Lead,5,15,ppb,,,,
