Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
144-CH3952-N/A-001-B,By,Store,8/8/18,8/14/18,1808427-24A,Copper,0.012,0.0000259,1.3,ppm,,,,,,,
144-CH3952-N/A-001-B,By,Store,8/8/18,8/14/18,1808427-24A,Lead,1.4,0.00523,15,ppb,,,,,,,
144-CH3967-N/A-001-A,By,209,8/8/18,8/14/18,1808427-25A,Copper,0.0162,0.0000259,1.3,ppm,,,,,,,
144-CH3967-N/A-001-A,By,209,8/8/18,8/14/18,1808427-25A,Lead,10.6,0.00523,15,ppb,,,,,,,
144-CH3967-N/A-001-B,By,209,8/8/18,8/14/18,1808427-26A,Copper,0.00392,0.0000259,1.3,ppm,,,,,,,
144-CH3967-N/A-001-B,By,209,8/8/18,8/14/18,1808427-26A,Lead,6.61,0.00523,15,ppb,,,,,,,
144-CH3959-N/A-001-A,112,,8/8/18,8/14/18,1808427-27A,Copper,0.013,0.0000259,1.3,ppm,,,,,,,
144-CH3959-N/A-001-A,112,,8/8/18,8/14/18,1808427-27A,Lead,6.14,0.00523,15,ppb,,,,,,,
144-CH3959-N/A-001-B,112,,8/8/18,8/14/18,1808427-28A,Copper,0.00885,0.0000259,1.3,ppm,,,,,,,
144-CH3959-N/A-001-B,112,,8/8/18,8/14/18,1808427-28A,Lead,3.76,0.00523,15,ppb,,,,,,,
