Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,Detection,PPS Action Level,Units, , , , , , , 
282-2189-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-22,Lead,30.4,0.2,15,ppb,,,,,,,
282-2188-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-23,Copper,0.00847,0.002,1.3,ppm,,,,,,,
282-2188-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-23,Lead,5.52,0.2,15,ppb,,,,,,,
282-2188-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-24,Copper,0.00952,0.002,1.3,ppm,,,,,,,
282-2188-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-24,Lead,1.69,0.2,15,ppb,,,,,,,
282-2187-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-25,Copper,0.0556,0.002,1.3,ppm,,,,,,,
282-2187-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-25,Lead,12.9,0.2,15,ppb,,,,,,,
282-2187-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-26,Copper,0.00536,0.002,1.3,ppm,,,,,,,
282-2187-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-26,Lead,0.961,0.2,15,ppb,,,,,,,
282-2185-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-27,Copper,0.0144,0.002,1.3,ppm,,,,,,,
282-2185-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-27,Lead,8.64,0.2,15,ppb,,,,,,,
282-2185-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-28,Copper,0.00458,0.002,1.3,ppm,,,,,,,
282-2185-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-28,Lead,0.854,0.2,15,ppb,,,,,,,
282-2184-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-29,Copper,0.0511,0.002,1.3,ppm,,,,,,,
282-2184-N/A-001-A,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-29,Lead,16,0.2,15,ppb,,,,,,,
282-2184-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-30,Copper,0.0314,0.002,1.3,ppm,,,,,,,
282-2184-N/A-001-B,Drinking Fountain,Classroom,8/16/18,8/25/18,A8H0454-30,Lead,2.53,0.2,15,ppb,,,,,,,
